period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
3.510000000000000000e+02,2.616538663533531355e-03,5.741937992768743858e-03,3.466708550158772908e-03,1.829560161036156238e-03,1.637148389122616669e-03,3.466558006362786392e-03,1.505437959865157938e-07,-7.201074194778311899e+00,-3.433836086084929295e+00
3.520000000000000000e+02,2.616554810032080142e-03,5.741936381124335652e-03,3.466718547029256237e-03,1.829559708634613795e-03,1.637158838394642442e-03,3.466568008942568641e-03,1.505380866875967449e-07,-7.200501538336534502e+00,-3.433863190229613505e+00
3.530000000000000000e+02,2.616570956151900197e-03,5.741934769154216633e-03,3.466728543942639278e-03,1.829559256213705550e-03,1.637169287728933728e-03,3.466578011565132206e-03,1.505323775070725734e-07,-7.199928895326856981e+00,-3.433890299851993788e+00
3.540000000000000000e+02,2.616587101893022311e-03,5.741933156858431905e-03,3.466738540898933307e-03,1.829558803773439525e-03,1.637179737125493782e-03,3.466588014230494869e-03,1.505266684384380660e-07,-7.199356265748191319e+00,-3.433917414951326297e+00
3.550000000000000000e+02,2.616603247255479010e-03,5.741931544237026570e-03,3.466748537898156537e-03,1.829558351313822443e-03,1.637190186584334094e-03,3.466598016938667037e-03,1.505209594894994785e-07,-7.198783649599382883e+00,-3.433944535526844977e+00
3.560000000000000000e+02,2.616619392239303687e-03,5.741929931290047466e-03,3.466758534940318510e-03,1.829557898834862761e-03,1.637200636105455749e-03,3.466608019689668228e-03,1.505152506502821508e-07,-7.198211046879244179e+00,-3.433971661577761569e+00
3.570000000000000000e+02,2.616635536844526266e-03,5.741928318017537961e-03,3.466768532025437874e-03,1.829557446336566549e-03,1.637211085688871325e-03,3.466618022483510149e-03,1.505095419277249769e-07,-7.197638457586730709e+00,-3.433998793103354430e+00
3.580000000000000000e+02,2.616651681071179708e-03,5.741926704419544891e-03,3.466778529153525037e-03,1.829556993818938796e-03,1.637221535334586241e-03,3.466628025320204511e-03,1.505038333205269141e-07,-7.197065881720654090e+00,-3.434025930102835300e+00
3.590000000000000000e+02,2.616667824919295671e-03,5.741925090496112494e-03,3.466788526324596047e-03,1.829556541281990561e-03,1.637231985042605486e-03,3.466638028199770395e-03,1.504981248256521964e-07,-7.196493319279895218e+00,-3.434053072575449228e+00
3.600000000000000000e+02,2.616683968388906247e-03,5.741923476247286738e-03,3.466798523538665213e-03,1.829556088725726396e-03,1.637242434812938817e-03,3.466648031122219944e-03,1.504924164452692281e-07,-7.195920770263319888e+00,-3.434080220520419058e+00
3.610000000000000000e+02,2.616700111480044395e-03,5.741921861673113595e-03,3.466808520795748583e-03,1.829555636150154325e-03,1.637252884645594257e-03,3.466658034087567036e-03,1.504867081815464136e-07,-7.195348234669762810e+00,-3.434107373937000940e+00
3.620000000000000000e+02,2.616716254192740908e-03,5.741920246773639901e-03,3.466818518095859166e-03,1.829555183555280420e-03,1.637263334540578746e-03,3.466668037095826851e-03,1.504810000323153485e-07,-7.194775712498124420e+00,-3.434134532824373309e+00
3.630000000000000000e+02,2.616732396527028312e-03,5.741918631548907290e-03,3.466828515439010407e-03,1.829554730941114005e-03,1.637273784497896402e-03,3.466678040147015000e-03,1.504752919954076285e-07,-7.194203203747262521e+00,-3.434161697181858930e+00
3.640000000000000000e+02,2.616748538482936964e-03,5.741917015998962599e-03,3.466838512825216184e-03,1.829554278307657465e-03,1.637284234517558720e-03,3.466688043241140590e-03,1.504695840755937430e-07,-7.193630708416076658e+00,-3.434188867008658441e+00
3.650000000000000000e+02,2.616764680060500690e-03,5.741915400123852667e-03,3.466848510254491242e-03,1.829553825654922725e-03,1.637294684599568517e-03,3.466698046378224006e-03,1.504638762672358410e-07,-7.193058226503390884e+00,-3.434216042303994687e+00
